TICKER,NAME,SECTOR,average Volume (10 Day),market cap,BETA,
HLMN,Hillman Solutions Corp,Manufacturing/Construction,"1,263,600",$2B (Micro),1.66,NASDAQ
CODI,Compass Diversified Holdings,Finance,"1,263,850",$414M (Micro),1.08,NYS
KBH,KB Home,Real Estate,"1,264,850",$4B (Small),1.49,NYS
FWRG,First Watch Restaurant Group Inc,Food/Beverages/Shopping,"1,266,950",$950M (Micro),0.89,NASDAQ
TPG,TPG Inc,Finance,"1,267,110",$25B (Mid),1.49,NASDAQ
NRIX,Nurix Therapeutics Inc,Healthcare,"1,267,700",$2B (Micro),1.96,NASDAQ
TS,Tenaris SA,Energy/Utilities,"1,267,950",$20B (Mid),0.92,NYS
GBTG,Global Business Travel Group Inc,Auto/Travel/Shipping,"1,268,730",$4B (Small),0.74,NYS
OLMA,Olema Pharmaceuticals Inc,Healthcare,"1,269,080",$2B (Small),1.91,NASDAQ
CUZ,Cousins Properties Inc,Real Estate,"1,270,270",$4B (Small),1.2,NYS
TRMB,Trimble Inc,Technology,"1,271,020",$19B (Mid),1.59,NASDAQ
CDW,CDW Corp,Technology,"1,271,590",$17B (Mid),1.07,NASDAQ
HPP,Hudson Pacific Properties Inc,Real Estate,"1,273,710",$527M (Micro),1.51,NYS
TRV,Travelers Companies Inc,Finance,"1,273,730",$63B (Large),0.52,NYS
ORIC,Oric Pharmaceuticals Inc,Healthcare,"1,273,850",$891M (Micro),1.34,NASDAQ
AJG,Arthur J. Gallagher & Co.,Finance,"1,274,090",$68B (Large),0.66,NYS
CDP,COPT Defense Properties,Real Estate,"1,274,690",$3B (Small),0.88,NYS
CPT,Camden Property Trust,Real Estate,"1,277,060",$12B (Mid),0.83,NYS
TALK,Talkspace Inc,Healthcare,"1,277,610",$666M (Micro),1.21,NASDAQ
DRS,Leonardo DRS Inc,Govt/Defense/Space,"1,277,710",$11B (Mid),0.46,NASDAQ
CTAS,Cintas Corp,Food/Beverages/Shopping,"1,279,640",$77B (Large),0.95,NASDAQ
AL,Air Lease Corp,Auto/Travel/Shipping,"1,280,470",$7B (Small),1.14,NYS
LHX,L3Harris Technologies Inc,Govt/Defense/Space,"1,281,280",$63B (Large),0.65,NYS
AVAH,Aveanna Healthcare Holdings Inc,Healthcare,"1,281,740",$2B (Micro),2.06,NASDAQ
VELO,Velo3D Inc,Manufacturing/Construction,"1,293,130",$493M (Micro),1.99,NASDAQ
WCN,Waste Connections Inc,Govt/Defense/Space,"1,293,720",$43B (Large),0.61,NYS
SGRY,Surgery Partners Inc,Healthcare,"1,293,950",$2B (Micro),1.98,NASDAQ
RSI,Rush Street Interactive Inc,Entertainment,"1,294,390",$4B (Small),1.55,NYS
NCNO,nCino Inc,Technology,"1,295,330",$3B (Small),0.56,NASDAQ
JAMF,Jamf Holding Corp,Technology,"1,297,120",$2B (Micro),0.53,NASDAQ
PRCH,Porch Group Inc,Technology,"1,297,900",$1B (Micro),3.07,NASDAQ
PRU,Prudential Financial Inc,Finance,"1,300,230",$41B (Large),0.97,NYS
HAYW,Hayward Holdings Inc,Manufacturing/Construction,"1,302,130",$4B (Small),1.13,NYS
CB,Chubb Ltd,Finance,"1,305,980",$121B (Large),0.5,NYS
NVS,Novartis AG,Healthcare,"1,307,120",$272B (Large),0.5,NYS
ISRG,Intuitive Surgical Inc,Healthcare,"1,307,610",$208B (Large),1.66,NASDAQ
LODE,Comstock Inc,Gold/Precious Metals/Materials,"1,307,990",$192M (Micro),1.66,NYS
DHC,Diversified Healthcare Trust,Real Estate,"1,308,570",$1B (Micro),2.41,NASDAQ
CI,Cigna Group,Healthcare,"1,310,230",$75B (Large),0.28,NYS
OGE,OGE Energy Corp,Energy/Utilities,"1,313,690",$9B (Mid),0.61,NYS
SVC,Service Properties Trust,Real Estate,"1,314,020",$361M (Micro),1.46,NASDAQ
ITW,Illinois Tool Works Inc,Manufacturing/Construction,"1,314,590",$74B (Large),1.16,NYS
BIIB,Biogen Inc,Healthcare,"1,315,280",$28B (Mid),0.16,NASDAQ
PTCT,PTC Therapeutics Inc,Healthcare,"1,315,820",$6B (Small),0.48,NASDAQ
BXP,BXP Inc,Real Estate,"1,316,620",$11B (Mid),1.03,NYS
HESM,Hess Midstream LP,Energy/Utilities,"1,320,570",$7B (Small),0.59,NYS
CNTA,Centessa Pharmaceuticals PLC,Healthcare,"1,322,020",$3B (Small),1.56,NASDAQ
HP,Helmerich and Payne Inc,Energy/Utilities,"1,322,110",$3B (Small),0.57,NYS
ADC,Agree Realty Corp,Real Estate,"1,322,360",$8B (Mid),0.54,NYS
RGC,Regencell Bioscience Holdings Ltd,Healthcare,"1,323,820",$23B (Mid),2.08,NASDAQ
PHAT,Phathom Pharmaceuticals Inc,Healthcare,"1,325,370",$1B (Micro),0.51,NASDAQ
IEP,Icahn Enterprises LP,Finance,"1,329,860",$5B (Small),0.77,NASDAQ
TALO,Talos Energy Inc,Energy/Utilities,"1,333,150",$2B (Micro),0.57,NYS
CGNX,Cognex Corp,Technology,"1,333,530",$7B (Small),1.54,NASDAQ
TENB,Tenable Holdings Inc,Technology,"1,337,790",$3B (Small),0.63,NASDAQ
GD,General Dynamics Corp,Govt/Defense/Space,"1,340,530",$96B (Large),0.41,NYS
AEE,Ameren Corp,Energy/Utilities,"1,342,110",$27B (Mid),0.58,NYS
TRIN,Trinity Capital Inc,Finance,"1,345,440",$1B (Micro),0.59,NASDAQ
OVID,Ovid Therapeutics Inc,Healthcare,"1,346,770",$217M (Micro),0.26,NASDAQ
WTI,W&T Offshore Inc,Energy/Utilities,"1,347,150",$244M (Micro),0.34,NYS
NNN,NNN REIT Inc,Real Estate,"1,352,240",$8B (Mid),0.85,NYS
CCEP,Coca-Cola Europacific Partners PLC,Food/Beverages/Shopping,"1,353,740",$40B (Mid),0.52,NASDAQ
DUOL,Duolingo Inc,Education,"1,354,610",$8B (Mid),0.86,NASDAQ
MLCO,Melco Resorts & Entertainment Ltd,Entertainment,"1,357,560",$3B (Small),0.62,NASDAQ
RPM,RPM International Inc,Gold/Precious Metals/Materials,"1,358,170",$14B (Mid),1.1,NYS
LFMD,LifeMD Inc,Healthcare,"1,358,350",$186M (Micro),1.9,NASDAQ
HLX,Helix Energy Solutions Group Inc,Energy/Utilities,"1,360,230",$1B (Micro),1.26,NYS
SBLK,Star Bulk Carriers Corp,Auto/Travel/Shipping,"1,363,100",$2B (Small),0.8,NASDAQ
YPF,YPF SA,Energy/Utilities,"1,363,270",$13B (Mid),1.42,NYS
VEEV,Veeva Systems Inc,Healthcare,"1,364,890",$39B (Mid),1.08,NYS
EGO,Eldorado Gold Corp,Gold/Precious Metals/Materials,"1,364,930",$8B (Mid),0.51,NYS
AMRX,Amneal Pharmaceuticals Inc,Healthcare,"1,365,630",$4B (Small),1.36,NASDAQ
ELS,Equity LifeStyle Properties Inc,Real Estate,"1,376,640",$12B (Mid),0.77,NYS
CVBF,CVB Financial Corp,Finance,"1,377,450",$3B (Small),0.7,NASDAQ
ZVIA,Zevia PBC,Food/Beverages/Shopping,"1,377,840",$140M (Micro),0.85,NYS
ZS,Zscaler Inc,Technology,"1,378,450",$35B (Mid),1.02,NASDAQ
TSEM,Tower Semiconductor Ltd,Technology,"1,381,020",$13B (Mid),0.89,NASDAQ
CMA,Comerica Inc,Finance,"1,384,630",$12B (Mid),1.06,NYS
JBI,Janus International Group Inc,Manufacturing/Construction,"1,384,960",$981M (Micro),1.49,NYS
ST,Sensata Technologies Holding PLC,Technology,"1,386,570",$5B (Small),1.16,NYS
APD,Air Products and Chemicals Inc,Gold/Precious Metals/Materials,"1,386,840",$59B (Large),0.88,NYS
RMBS,Rambus Inc,Technology,"1,387,610",$10B (Mid),1.52,NASDAQ
MDB,MongoDB Inc,Technology,"1,391,300",$33B (Mid),1.39,NASDAQ
VGZ,Vista Gold Corp,Gold/Precious Metals/Materials,"1,392,140",$257M (Micro),1.12,NYS
MPLX,MPLX LP,Energy/Utilities,"1,398,800",$54B (Large),0.55,NYS
FATE,Fate Therapeutics Inc,Healthcare,"1,401,680",$121M (Micro),2.25,NASDAQ
REI,Ring Energy Inc,Energy/Utilities,"1,403,680",$192M (Micro),1,NYS
EMN,Eastman Chemical Co,Gold/Precious Metals/Materials,"1,403,890",$8B (Mid),1.25,NYS
VRDN,Viridian Therapeutics Inc,Healthcare,"1,403,970",$3B (Small),0.96,NASDAQ
BKSY,Blacksky Technology Inc,Technology,"1,404,530",$919M (Micro),2.44,NYS
CAH,Cardinal Health Inc,Healthcare,"1,404,790",$48B (Large),0.65,NYS
KURA,Kura Oncology Inc,Healthcare,"1,404,980",$819M (Micro),0.23,NASDAQ
BEAM,Beam Therapeutics Inc,Healthcare,"1,408,790",$3B (Small),2.12,NASDAQ
DNLI,Denali Therapeutics Inc,Healthcare,"1,416,810",$3B (Small),1.02,NASDAQ
BXMT,Blackstone Mortgage Trust Inc,Real Estate,"1,420,950",$3B (Small),1.1,NYS
TBLA,Taboola.com Ltd,Technology,"1,420,980",$1B (Micro),1.29,NASDAQ
EA,Electronic Arts Inc,Entertainment,"1,421,580",$51B (Large),0.73,NASDAQ
OHI,Omega Healthcare Investors Inc,Real Estate,"1,421,710",$13B (Mid),0.55,NYS
NE,Noble Corporation PLC,Energy/Utilities,"1,423,050",$5B (Small),1.12,NYS
FULT,Fulton Financial Corp,Finance,"1,424,790",$4B (Small),0.88,NASDAQ
MTDR,Matador Resources Co,Energy/Utilities,"1,427,730",$5B (Small),1.13,NYS
PNR,Pentair PLC,Manufacturing/Construction,"1,428,870",$17B (Mid),1.22,NYS
BDX,Becton Dickinson and Co,Healthcare,"1,430,560",$58B (Large),0.25,NYS
MOH,Molina Healthcare Inc,Healthcare,"1,434,920",$9B (Mid),0.5,NYS
LC,LendingClub Corp,Finance,"1,437,560",$2B (Small),2.1,NYS
NTST,Netstreit Corp,Real Estate,"1,439,140",$1B (Micro),0.88,NYS
NYT,New York Times Co,Entertainment,"1,439,900",$12B (Mid),1.11,NYS
ED,Consolidated Edison Inc,Energy/Utilities,"1,440,570",$36B (Mid),0.37,NYS
MAC,Macerich Co,Real Estate,"1,441,180",$5B (Small),2.15,NYS
IFF,International Flavors & Fragrances Inc,Gold/Precious Metals/Materials,"1,441,210",$18B (Mid),1.07,NYS
LXRX,Lexicon Pharmaceuticals Inc,Healthcare,"1,442,130",$425M (Micro),0.99,NASDAQ
CAPR,Capricor Therapeutics Inc,Healthcare,"1,443,360",$1B (Micro),0.37,NASDAQ
LZ,LegalZoom.com Inc,Technology,"1,443,440",$2B (Micro),1.23,NASDAQ
TRVI,Trevi Therapeutics Inc,Healthcare,"1,445,080",$1B (Micro),0.94,NASDAQ
SJM,J M Smucker Co,Food/Beverages/Shopping,"1,446,790",$11B (Mid),0.22,NYS
LNC,Lincoln National Corp,Finance,"1,451,540",$8B (Mid),1.3,NYS
DAN,Dana Inc,Auto/Travel/Shipping,"1,459,370",$3B (Small),2.13,NYS
LEG,Leggett & Platt Inc,Manufacturing/Construction,"1,460,980",$2B (Micro),0.75,NYS
GEO,Geo Group Inc,Govt/Defense/Space,"1,465,630",$2B (Small),0.73,NYS
ILMN,Illumina Inc,Healthcare,"1,466,100",$22B (Mid),1.46,NASDAQ
HSY,Hershey Co,Food/Beverages/Shopping,"1,466,350",$38B (Mid),0.17,NYS
ORI,Old Republic International Corp,Finance,"1,468,550",$11B (Mid),0.75,NYS
NSA,National Storage Affiliates Trust,Real Estate,"1,471,960",$2B (Small),1.22,NYS
BBVA,Banco Bilbao Vizcaya Argentaria SA,Finance,"1,472,140",$136B (Large),0.85,NYS
CHRW,CH Robinson Worldwide Inc,Auto/Travel/Shipping,"1,473,100",$20B (Mid),0.9,NASDAQ
PRTS,Carparts.Com Inc,Auto/Travel/Shipping,"1,475,160",$36M (Micro),0.94,NASDAQ
BUD,Anheuser-Busch Inbev SA,Food/Beverages/Shopping,"1,477,560",$118B (Large),0.54,NYS
SHW,Sherwin-Williams Co,Gold/Precious Metals/Materials,"1,479,860",$88B (Large),1.26,NYS
NEO,Neogenomics Inc,Healthcare,"1,482,000",$2B (Micro),1.58,NASDAQ
MFC,Manulife Financial Corp,Finance,"1,484,120",$63B (Large),0.83,NYS
WTRG,Essential Utilities Inc,Energy/Utilities,"1,487,490",$11B (Mid),0.8,NYS
TSE,Trinseo PLC,Gold/Precious Metals/Materials,"1,488,460",$28M (Micro),1.49,NYS
ACGL,Arch Capital Group Ltd,Finance,"1,491,530",$35B (Mid),0.42,NASDAQ
AVAV,AeroVironment Inc,Govt/Defense/Space,"1,492,600",$18B (Mid),1.25,NASDAQ
DKS,DICK'S Sporting Goods Inc,Sports/Fitness,"1,493,400",$19B (Mid),1.24,NYS
CMPS,Compass Pathways PLC,Healthcare,"1,494,030",$693M (Micro),1.93,NASDAQ
WEAV,Weave Communications Inc,Technology,"1,495,310",$559M (Micro),1.69,NYS
ATOS,Atossa Therapeutics Inc,Healthcare,"1,496,070",$83M (Micro),1.37,NASDAQ
FLUT,Flutter Entertainment PLC,Entertainment,"1,498,850",$38B (Mid),1.15,NYS
PROP,Prairie Operating Co,Energy/Utilities,"1,503,090",$108M (Micro),2.43,NASDAQ
CHRS,Coherus Oncology Inc,Healthcare,"1,503,360",$204M (Micro),1,NASDAQ
STGW,Stagwell Inc,Entertainment,"1,504,140",$1B (Micro),1.69,NASDAQ
RANI,Rani Therapeutics Holdings Inc,Healthcare,"1,505,790",$170M (Micro),0.44,NASDAQ
HTHT,H World Group Ltd,Real Estate,"1,512,040",$15B (Mid),0.15,NASDAQ
ARES,Ares Management Corp,Finance,"1,512,930",$57B (Large),1.54,NYS
CRVS,Corvus Pharmaceuticals Inc,Healthcare,"1,513,430",$507M (Micro),0.68,NASDAQ
WM,Waste Management Inc,Govt/Defense/Space,"1,514,610",$89B (Large),0.58,NYS
CVI,CVR Energy Inc,Energy/Utilities,"1,514,790",$2B (Small),1.15,NYS
ACMR,ACM Research Inc,Technology,"1,516,200",$3B (Small),1.49,NASDAQ
VIR,Vir Biotechnology Inc,Healthcare,"1,516,310",$814M (Micro),1.68,NASDAQ
MTG,MGIC Investment Corp,Finance,"1,517,440",$6B (Small),0.83,NYS
VYX,NCR Voyix Corp,Technology,"1,519,160",$2B (Micro),1.46,NYS
ANF,Abercrombie & Fitch Co,Consumer Products,"1,521,020",$6B (Small),1.18,NYS
SHO,Sunstone Hotel Investors Inc,Real Estate,"1,521,190",$2B (Micro),1.02,NYS
NUE,Nucor Corp,Gold/Precious Metals/Materials,"1,522,660",$37B (Mid),1.86,NYS
FBIN,Fortune Brands Innovations Inc,Manufacturing/Construction,"1,524,670",$7B (Small),1.41,NYS
LSCC,Lattice Semiconductor Corp,Technology,"1,524,970",$12B (Mid),1.7,NASDAQ
KBR,KBR Inc,Govt/Defense/Space,"1,526,050",$6B (Small),0.52,NYS
BRSL,Brightstar Lottery PLC,Entertainment,"1,529,650",$3B (Small),1.06,NYS
QFIN,Qfin Holdings Inc,Finance,"1,529,790",$2B (Small),0.57,NASDAQ
DXC,DXC Technology Co,Technology,"1,530,970",$3B (Small),1.07,NYS
NVT,nVent Electric PLC,Manufacturing/Construction,"1,532,690",$17B (Mid),1.32,NYS
MFA,MFA Financial Inc,Real Estate,"1,532,740",$990M (Micro),1.66,NYS
IRDM,Iridium Communications Inc,Govt/Defense/Space,"1,534,340",$2B (Micro),0.62,NASDAQ
RCUS,Arcus Biosciences Inc,Healthcare,"1,537,190",$3B (Small),0.84,NYS
BG,Bunge Global SA,Food/Beverages/Shopping,"1,537,430",$19B (Mid),0.77,NYS
ZBH,Zimmer Biomet Holdings Inc,Healthcare,"1,539,920",$18B (Mid),0.63,NYS
INTU,Intuit Inc,Technology,"1,540,880",$180B (Large),1.24,NASDAQ
TTMI,TTM Technologies Inc,Technology,"1,542,570",$8B (Mid),1.74,NASDAQ
GETY,Getty Images Holdings Inc,Entertainment,"1,546,550",$541M (Micro),2.08,NYS
ASML,ASML Holding NV,Technology,"1,547,010",$494B (Large),1.89,NASDAQ
RLJ,RLJ Lodging Trust,Real Estate,"1,550,510",$1B (Micro),1.13,NYS
EBC,Eastern Bankshares Inc,Finance,"1,550,600",$5B (Small),0.81,NASDAQ
TECH,Bio-Techne Corp,Healthcare,"1,552,580",$10B (Mid),1.48,NASDAQ
CTRE,CareTrust REIT Inc,Real Estate,"1,554,560",$8B (Mid),0.78,NYS
FIVN,Five9 Inc,Technology,"1,557,640",$2B (Micro),1.33,NASDAQ
HAS,Hasbro Inc,Consumer Products,"1,557,800",$12B (Mid),0.55,NASDAQ
HLT,Hilton Worldwide Holdings Inc,Real Estate,"1,558,100",$70B (Large),1.13,NYS
CME,CME Group Inc,Finance,"1,559,050",$95B (Large),0.29,NASDAQ
STIM,Neuronetics Inc,Healthcare,"1,559,170",$142M (Micro),0.81,NASDAQ
BRZE,Braze Inc,Technology,"1,562,670",$3B (Small),1.07,NASDAQ
BKKT,Bakkt Holdings Inc,Finance,"1,564,140",$391M (Micro),5.94,NYS
INV,Innventure Inc,Finance,"1,570,360",$261M (Micro),0.09,NASDAQ
PPG,PPG Industries Inc,Gold/Precious Metals/Materials,"1,570,560",$24B (Mid),1.16,NYS
LFST,LifeStance Health Group Inc,Healthcare,"1,572,570",$3B (Small),1.12,NASDAQ
SWK,Stanley Black & Decker Inc,Manufacturing/Construction,"1,573,490",$13B (Mid),1.21,NYS
LX,Lexinfintech Holdings Ltd,Finance,"1,573,850",$506M (Micro),0.77,NASDAQ
KT,KT Corp,Communication Services,"1,574,540",$9B (Mid),0.65,NYS
QURE,Uniqure NV,Healthcare,"1,574,850",$2B (Micro),0.67,NASDAQ
AVPT,AvePoint Inc,Technology,"1,574,990",$3B (Small),1.09,NASDAQ
FROG,Jfrog Ltd,Technology,"1,575,090",$7B (Small),1.13,NASDAQ
TT,Trane Technologies PLC,Manufacturing/Construction,"1,576,050",$85B (Large),1.21,NYS
SCCO,Southern Copper Corp,Gold/Precious Metals/Materials,"1,578,200",$140B (Large),1.08,NYS
PLNT,Planet Fitness Inc,Sports/Fitness,"1,578,290",$9B (Mid),1.26,NYS
TTEK,Tetra Tech Inc,Manufacturing/Construction,"1,580,180",$9B (Mid),0.91,NASDAQ
TRX,TRX Gold Corp,Gold/Precious Metals/Materials,"1,580,350",$257M (Micro),0.32,NYS
CUK,Carnival PLC,Auto/Travel/Shipping,"1,580,950",$5B (Small),2.52,NYS
SNPS,Synopsys Inc,Technology,"1,583,850",$100B (Large),1.12,NASDAQ
BJ,BJ's Wholesale Club Holdings Inc,Food/Beverages/Shopping,"1,594,090",$12B (Mid),0.36,NYS
BZAI,Blaize Holdings Inc,Technology,"1,601,060",$260M (Micro),0.35,NASDAQ
AFL,Aflac Inc,Finance,"1,601,470",$57B (Large),0.67,NYS
GORO,Gold Resource Corp,Gold/Precious Metals/Materials,"1,602,430",$157M (Micro),0.84,NYS
OPCH,Option Care Health Inc,Healthcare,"1,604,590",$5B (Small),0.84,NASDAQ
IMVT,Immunovant Inc,Healthcare,"1,606,010",$5B (Small),0.54,NASDAQ
TXT,Textron Inc,Govt/Defense/Space,"1,606,550",$17B (Mid),0.99,NYS
WPM,Wheaton Precious Metals Corp,Gold/Precious Metals/Materials,"1,607,290",$57B (Large),0.52,NYS
CDNS,Cadence Design Systems Inc,Technology,"1,607,490",$89B (Large),1.01,NASDAQ
HSBC,HSBC Holdings PLC,Finance,"1,609,930",$275B (Large),0.49,NYS
CHTR,Charter Communications Inc,Technology,"1,610,970",$27B (Mid),1.05,NASDAQ
CG,Carlyle Group Inc,Finance,"1,611,890",$24B (Mid),2.05,NASDAQ
DENN,Denny's Corp,Food/Beverages/Shopping,"1,614,170",$321M (Micro),1.39,NASDAQ
TROW,T Rowe Price Group Inc,Finance,"1,614,880",$23B (Mid),1.55,NASDAQ
CALM,Cal-Maine Foods Inc,Food/Beverages/Shopping,"1,625,020",$4B (Small),0.24,NASDAQ
AKR,Acadia Realty Trust,Real Estate,"1,625,520",$3B (Small),1.15,NYS
VSAT,Viasat Inc,Technology,"1,632,850",$6B (Small),1.47,NASDAQ
SYK,Stryker Corp,Healthcare,"1,633,980",$141B (Large),0.88,NYS
GMAB,Genmab A/S,Healthcare,"1,637,160",$21B (Mid),0.91,NASDAQ
AMX,America Movil SAB de CV,Communication Services,"1,640,830",$61B (Large),0.77,NYS
GTES,Gates Industrial Corporation PLC,Auto/Travel/Shipping,"1,644,800",$6B (Small),1.27,NYS
KRC,Kilroy Realty Corp,Real Estate,"1,644,860",$5B (Small),1.12,NYS
ARQT,Arcutis Biotherapeutics Inc,Healthcare,"1,646,530",$3B (Small),1.71,NASDAQ
MGY,Magnolia Oil & Gas Corp,Energy/Utilities,"1,648,760",$4B (Small),0.96,NYS
FDX,FedEx Corp,Auto/Travel/Shipping,"1,650,460",$73B (Large),1.35,NYS
ALKS,Alkermes Plc,Healthcare,"1,653,600",$5B (Small),0.44,NASDAQ
CENN,Cenntro Inc (The Corporation),Auto/Travel/Shipping,"1,653,770",$14M (Micro),1.72,NASDAQ
GDS,GDS Holdings Ltd,Technology,"1,654,990",$8B (Mid),0.37,NASDAQ
ODFL,Old Dominion Freight Line Inc,Auto/Travel/Shipping,"1,656,910",$36B (Mid),1.28,NASDAQ
YUM,Yum! Brands Inc,Food/Beverages/Shopping,"1,657,390",$43B (Large),0.66,NYS
FCEL,Fuelcell Energy Inc,Manufacturing/Construction,"1,659,590",$362M (Micro),1.32,NASDAQ
DRI,Darden Restaurants Inc,Food/Beverages/Shopping,"1,661,700",$23B (Mid),0.64,NYS
RYN,Rayonier Inc,Real Estate,"1,664,290",$4B (Small),1,NYS
APTV,Aptiv PLC,Auto/Travel/Shipping,"1,664,400",$19B (Mid),1.52,NYS
ALGM,Allegro Microsystems Inc,Technology,"1,665,920",$6B (Small),1.63,NASDAQ
LEVI,Levi Strauss & Co,Consumer Products,"1,666,090",$9B (Mid),1.33,NYS
PAGP,Plains GP Holdings LP,Energy/Utilities,"1,670,660",$4B (Small),0.54,NASDAQ
NRG,NRG Energy Inc,Energy/Utilities,"1,671,740",$29B (Mid),1.26,NYS
GMED,Globus Medical Inc,Healthcare,"1,673,190",$13B (Mid),1.06,NYS
SHAK,Shake Shack Inc,Food/Beverages/Shopping,"1,673,980",$4B (Small),1.76,NYS
EVTL,Vertical Aerospace Ltd,Govt/Defense/Space,"1,675,550",$650M (Micro),1.24,NYS
LNT,Alliant Energy Corp,Energy/Utilities,"1,677,340",$17B (Mid),0.66,NASDAQ
RCL,Royal Caribbean Cruises Ltd,Auto/Travel/Shipping,"1,678,310",$85B (Large),1.92,NYS
SVRA,Savara Inc,Healthcare,"1,678,590",$1B (Micro),0.33,NASDAQ
LBTYA,Liberty Global Ltd,Communication Services,"1,684,980",$2B (Micro),1.11,NASDAQ
IE,Ivanhoe Electric Inc,Gold/Precious Metals/Materials,"1,685,130",$2B (Small),0.98,NYS
PYXS,Pyxis Oncology Inc,Healthcare,"1,687,230",$110M (Micro),1.49,NASDAQ
LNG,Cheniere Energy Inc,Energy/Utilities,"1,687,840",$42B (Large),0.27,NYS
IMUX,Immunic Inc,Healthcare,"1,688,050",$80M (Micro),1.6,NASDAQ
JANX,Janux Therapeutics Inc,Healthcare,"1,688,500",$852M (Micro),2.87,NASDAQ
HLF,Herbalife Ltd,Consumer Products,"1,688,870",$2B (Micro),0.85,NYS
RES,RPC Inc,Energy/Utilities,"1,689,400",$1B (Micro),0.72,NYS
BANC,Banc of California Inc,Finance,"1,692,410",$3B (Small),0.73,NYS
CBRL,Cracker Barrel Old Country Store Inc,Food/Beverages/Shopping,"1,693,480",$670M (Micro),1.29,NASDAQ
URBN,Urban Outfitters Inc,Sports/Fitness,"1,694,560",$7B (Small),1.25,NASDAQ
CNM,Core & Main Inc,Manufacturing/Construction,"1,698,860",$11B (Mid),0.99,NYS
PHM,Pultegroup Inc,Real Estate,"1,701,640",$26B (Mid),1.35,NYS
NTAP,NetApp Inc,Technology,"1,701,650",$21B (Mid),1.38,NASDAQ
ADP,Automatic Data Processing Inc,Technology,"1,704,710",$108B (Large),0.85,NASDAQ
DOCN,DigitalOcean Holdings Inc,Technology,"1,705,200",$5B (Small),1.77,NYS
SYM,Symbotic Inc,Manufacturing/Construction,"1,707,700",$43B (Large),2.15,NASDAQ
BLDR,Builders FirstSource Inc,Manufacturing/Construction,"1,709,920",$14B (Mid),1.57,NYS
SLAI,SOLAI Ltd,Technology,"1,710,950",$21M (Micro),3.39,NYS
CRSP,CRISPR Therapeutics AG,Healthcare,"1,712,420",$5B (Small),1.72,NASDAQ
VRNS,Varonis Systems Inc,Technology,"1,713,400",$4B (Small),0.59,NASDAQ
CE,Celanese Corp,Gold/Precious Metals/Materials,"1,718,210",$5B (Small),1.12,NYS
WEC,WEC Energy Group Inc,Energy/Utilities,"1,719,490",$34B (Mid),0.57,NYS
CABA,Cabaletta Bio Inc,Healthcare,"1,726,780",$202M (Micro),3.26,NASDAQ
SPOT,Spotify Technology SA,Entertainment,"1,727,200",$111B (Large),1.66,NYS
SLM,SLM Corp,Finance,"1,727,700",$6B (Small),1.15,NASDAQ
GSBD,Goldman Sachs BDC Inc,Finance,"1,731,700",$1B (Micro),0.66,NYS
ASO,Academy Sports and Outdoors Inc,Sports/Fitness,"1,733,600",$4B (Small),1.26,NASDAQ
INDV,Indivior PLC,Healthcare,"1,741,990",$4B (Small),1.14,NASDAQ
MOD,Modine Manufacturing Co,Auto/Travel/Shipping,"1,744,000",$7B (Small),1.69,NYS
BHC,Bausch Health Companies Inc,Healthcare,"1,744,210",$3B (Small),0.42,NYS
XIFR,XPLR Infrastructure LP,Energy/Utilities,"1,747,790",$990M (Micro),0.97,NYS
WWW,Wolverine World Wide Inc,Food/Beverages/Shopping,"1,750,260",$2B (Micro),1.93,NYS
PUMP,ProPetro Holding Corp,Energy/Utilities,"1,755,550",$978M (Micro),0.77,NYS
BAH,Booz Allen Hamilton Holding Corp,Govt/Defense/Space,"1,758,080",$12B (Mid),0.34,NYS
JHG,Janus Henderson Group PLC,Finance,"1,759,280",$7B (Small),1.52,NYS
SBH,Sally Beauty Holdings Inc,Consumer Products,"1,762,200",$2B (Micro),1.16,NYS
NNDM,Nano Dimension Ltd,Technology,"1,765,080",$355M (Micro),0.91,NASDAQ
CADE,Cadence Bank,Finance,"1,765,560",$8B (Mid),0.96,NYS
BVN,Compania de Minas Buenaventura SAA,Gold/Precious Metals/Materials,"1,769,690",$8B (Mid),0.33,NYS
WMG,Warner Music Group Corp,Entertainment,"1,770,400",$16B (Mid),1.24,NASDAQ
LMND,Lemonade Inc,Finance,"1,771,590",$6B (Small),2.03,NYS
RWT,Redwood Trust Inc,Real Estate,"1,771,920",$722M (Micro),1.63,NYS
EVRG,Evergy Inc,Energy/Utilities,"1,775,170",$17B (Mid),0.64,NASDAQ
NVST,Envista Holdings Corp,Healthcare,"1,777,340",$4B (Small),1.02,NYS
DAR,Darling Ingredients Inc,Food/Beverages/Shopping,"1,780,730",$6B (Small),1.28,NYS
STAA,STAAR Surgical Co,Healthcare,"1,780,960",$1B (Micro),1.07,NASDAQ
ELF,elf Beauty Inc,Consumer Products,"1,781,350",$5B (Small),1.7,NYS
TMO,Thermo Fisher Scientific Inc,Healthcare,"1,784,750",$233B (Large),0.93,NYS
PEB,Pebblebrook Hotel Trust,Real Estate,"1,786,530",$1B (Micro),1.54,NYS
ESI,Element Solutions Inc,Gold/Precious Metals/Materials,"1,787,110",$7B (Small),1.28,NYS
FANG,Diamondback Energy Inc,Energy/Utilities,"1,788,820",$42B (Large),0.6,NASDAQ
ING,ING Groep NV,Finance,"1,795,560",$83B (Large),0.85,NYS
EPRT,Essential Properties Realty Trust Inc,Real Estate,"1,796,300",$6B (Small),1.01,NYS
