TICKER,NAME,SECTOR,average Volume (10 Day),,market cap,BETA
YPF,YPF SA,Energy,"1,363,270",NYS,$13B (Mid),1.42
EXPE,Expedia Group Inc,Consumer Discretionary,"1,225,470",NASDAQ,$36B (Mid),1.42
SPG,Simon Property Group Inc,Real Estate,"1,077,980",NYS,$60B (Large),1.42
WIX,Wix.Com Ltd,Technology,"1,049,480",NASDAQ,$5B (Small),1.42
GGB,Gerdau SA,Materials,"10,068,220",NYS,$5B (Small),1.43
DIS,Walt Disney Co,Communication Services,"8,222,000",NYS,$207B (Large),1.43
JCI,Johnson Controls International PLC,Industrials,"5,702,100",NYS,$68B (Large),1.43
PLD,Prologis Inc,Real Estate,"2,812,040",NYS,$120B (Large),1.43
PYPL,PayPal Holdings Inc,Financials,"13,388,390",NASDAQ,$54B (Large),1.44
MGM,MGM Resorts International,Consumer Discretionary,"4,670,910",NYS,$9B (Mid),1.44
ARR,ARMOUR Residential REIT Inc,Financials,"3,540,740",NYS,$2B (Micro),1.44
ALB,Albemarle Corp,Materials,"2,975,600",NYS,$19B (Mid),1.44
STT,State Street Corp,Financials,"1,934,850",NYS,$37B (Mid),1.44
PK,Park Hotels & Resorts Inc,Real Estate,"3,569,460",NYS,$2B (Small),1.45
GSIT,GSI Technology Inc,Technology,"3,431,760",NASDAQ,$277M (Micro),1.45
DHI,D.R. Horton Inc,Consumer Discretionary,"3,139,920",NYS,$46B (Large),1.45
CPRI,Capri Holdings Ltd,Consumer Discretionary,"1,968,860",NYS,$3B (Small),1.45
ADSK,Autodesk Inc,Technology,"1,210,660",NASDAQ,$59B (Large),1.45
ORGO,Organogenesis Holdings Inc,Healthcare,"1,061,450",NASDAQ,$534M (Micro),1.45
RIG,Transocean Ltd,Energy,"28,812,840",NYS,$5B (Small),1.46
CRML,Critical Metals Corp,Materials,"17,990,890",NASDAQ,$2B (Micro),1.46
UUUU,Energy Fuels Inc,Energy,"12,072,170",NYS,$4B (Small),1.46
MCHP,Microchip Technology Inc,Technology,"8,051,230",NASDAQ,$41B (Mid),1.46
BBY,Best Buy Co Inc,Consumer Discretionary,"4,333,820",NYS,$15B (Mid),1.46
METC,Ramaco Resources Inc,Energy,"2,400,580",NASDAQ,$1B (Micro),1.46
VYX,NCR Voyix Corp,Technology,"1,519,160",NYS,$2B (Micro),1.46
ILMN,Illumina Inc,Healthcare,"1,466,100",NASDAQ,$22B (Mid),1.46
SVC,Service Properties Trust,Real Estate,"1,314,020",NASDAQ,$361M (Micro),1.46
FCX,Freeport-McMoRan Inc,Materials,"18,511,910",NYS,$81B (Large),1.47
MPW,Medical Properties Trust Inc,Real Estate,"5,590,170",NYS,$3B (Small),1.47
OPK,OPKO Health Inc,Healthcare,"4,066,130",NASDAQ,$1B (Micro),1.47
LEN,Lennar Corp,Consumer Discretionary,"3,335,760",NYS,$27B (Mid),1.47
KSS,Kohls Corp,Consumer Discretionary,"3,334,750",NYS,$2B (Small),1.47
VSAT,Viasat Inc,Technology,"1,632,850",NASDAQ,$6B (Small),1.47
CWK,Cushman & Wakefield Ltd,Real Estate,"1,231,420",NYS,$4B (Small),1.47
STLD,Steel Dynamics Inc,Materials,"1,064,270",NASDAQ,$25B (Mid),1.47
MCW,Mister Car Wash Inc,Consumer Discretionary,"1,032,180",NASDAQ,$2B (Micro),1.47
BEN,Franklin Resources Inc,Financials,"4,000,390",NYS,$13B (Mid),1.48
MQ,Marqeta Inc,Financials,"2,986,340",NASDAQ,$2B (Micro),1.48
NXPI,NXP Semiconductors NV,Technology,"2,496,730",NASDAQ,$61B (Large),1.48
UNIT,Uniti Group Inc (Delaware),Real Estate,"2,071,070",NASDAQ,$2B (Micro),1.48
CERT,Certara Inc,Healthcare,"1,992,850",NASDAQ,$1B (Micro),1.48
TECH,Bio-Techne Corp,Healthcare,"1,552,580",NASDAQ,$10B (Mid),1.48
MGA,Magna International Inc,Consumer Discretionary,"1,133,570",NYS,$16B (Mid),1.48
DXCM,Dexcom Inc,Healthcare,"3,802,730",NASDAQ,$26B (Mid),1.49
GFS,GlobalFoundries Inc,Technology,"2,982,940",NASDAQ,$22B (Mid),1.49
GEVO,Gevo Inc,Energy,"2,970,120",NASDAQ,$482M (Micro),1.49
PYXS,Pyxis Oncology Inc,Healthcare,"1,687,230",NASDAQ,$110M (Micro),1.49
ACMR,ACM Research Inc,Technology,"1,516,200",NASDAQ,$3B (Small),1.49
TSE,Trinseo PLC,Materials,"1,488,460",NYS,$28M (Micro),1.49
JBI,Janus International Group Inc,Industrials,"1,384,960",NYS,$981M (Micro),1.49
TPG,TPG Inc,Financials,"1,267,110",NASDAQ,$25B (Mid),1.49
KBH,KB Home,Consumer Discretionary,"1,264,850",NYS,$4B (Small),1.49
CMC,Commercial Metals Co,Materials,"1,258,970",NYS,$8B (Mid),1.49
ASX,ASE Technology Holding Co Ltd,Technology,"6,797,720",NYS,$38B (Mid),1.5
RC,Ready Capital Corp,Financials,"3,938,540",NYS,$350M (Micro),1.5
JEF,Jefferies Financial Group Inc,Financials,"2,167,670",NYS,$13B (Mid),1.5
MT,ArcelorMittal SA,Materials,"1,212,140",NYS,$36B (Mid),1.5
LITE,Lumentum Holdings Inc,Technology,"3,775,090",NASDAQ,$25B (Mid),1.51
ADBE,Adobe Inc,Technology,"3,200,180",NASDAQ,$140B (Large),1.51
CUE,Cue Biopharma Inc,Healthcare,"2,721,800",NASDAQ,$28M (Micro),1.51
VUZI,Vuzix Corp,Technology,"2,472,360",NASDAQ,$265M (Micro),1.51
GDRX,GoodRx Holdings Inc,Healthcare,"2,124,100",NASDAQ,$950M (Micro),1.51
HPP,Hudson Pacific Properties Inc,Real Estate,"1,273,710",NYS,$527M (Micro),1.51
CSTM,Constellium SE,Materials,"1,179,000",NYS,$3B (Small),1.51
AUPH,Aurinia Pharmaceuticals Inc,Healthcare,"1,053,120",NASDAQ,$2B (Micro),1.51
MU,Micron Technology Inc,Technology,"31,116,320",NASDAQ,$388B (Large),1.52
SMCI,Super Micro Computer Inc,Technology,"25,023,190",NASDAQ,$18B (Mid),1.52
NUVB,Nuvation Bio Inc,Healthcare,"4,903,280",NYS,$3B (Small),1.52
CLVT,Clarivate PLC,Industrials,"4,323,510",NYS,$2B (Small),1.52
OPTU,Optimum Communications Inc,Communication Services,"2,724,910",NYS,$893M (Micro),1.52
JHG,Janus Henderson Group PLC,Financials,"1,759,280",NYS,$7B (Small),1.52
APTV,Aptiv PLC,Consumer Discretionary,"1,664,400",NYS,$19B (Mid),1.52
RMBS,Rambus Inc,Technology,"1,387,610",NASDAQ,$10B (Mid),1.52
PLAB,Photronics Inc,Technology,"1,145,070",NASDAQ,$2B (Micro),1.52
LUMN,Lumen Technologies Inc,Communication Services,"9,009,980",NYS,$8B (Mid),1.53
M,Macy's Inc,Consumer Discretionary,"5,455,410",NYS,$6B (Small),1.53
VNO,Vornado Realty Trust,Real Estate,"1,050,250",NYS,$7B (Small),1.53
BBWI,Bath & Body Works Inc,Consumer Discretionary,"6,064,800",NYS,$5B (Small),1.54
FTAI,FTAI Aviation Ltd,Industrials,"2,075,940",NASDAQ,$25B (Mid),1.54
PEB,Pebblebrook Hotel Trust,Real Estate,"1,786,530",NYS,$1B (Micro),1.54
ARES,Ares Management Corp,Financials,"1,512,930",NYS,$57B (Large),1.54
CGNX,Cognex Corp,Technology,"1,333,530",NASDAQ,$7B (Small),1.54
CRSR,Corsair Gaming Inc,Technology,"1,068,020",NASDAQ,$615M (Micro),1.54
QBTS,D-Wave Quantum Inc,Technology,"39,038,680",NYS,$10B (Mid),1.55
SEMR,SEMrush Holdings Inc,Technology,"1,976,160",NYS,$2B (Micro),1.55
TROW,T Rowe Price Group Inc,Financials,"1,614,880",NASDAQ,$23B (Mid),1.55
RSI,Rush Street Interactive Inc,Consumer Discretionary,"1,294,390",NYS,$4B (Small),1.55
EFX,Equifax Inc,Industrials,"1,246,070",NYS,$28B (Mid),1.55
OUT,OUTFRONT Media Inc,Real Estate,"1,031,680",NYS,$4B (Small),1.55
ON,ON Semiconductor Corp,Technology,"8,265,310",NASDAQ,$25B (Mid),1.56
BW,Babcock & Wilcox Enterprises Inc,Industrials,"3,510,820",NYS,$883M (Micro),1.56
WWR,Westwater Resources Inc,Materials,"2,599,910",NYS,$119M (Micro),1.56
CNTA,Centessa Pharmaceuticals PLC,Healthcare,"1,322,020",NASDAQ,$3B (Small),1.56
CROX,Crocs Inc,Consumer Discretionary,"1,250,940",NASDAQ,$4B (Small),1.56
APO,Apollo Global Management Inc,Financials,"2,299,760",NYS,$85B (Large),1.57
CAT,Caterpillar Inc,Industrials,"2,204,460",NYS,$289B (Large),1.57
BLDR,Builders FirstSource Inc,Industrials,"1,709,920",NYS,$14B (Mid),1.57
NEO,Neogenomics Inc,Healthcare,"1,482,000",NASDAQ,$2B (Micro),1.58
CHWY,Chewy Inc,Consumer Discretionary,"6,819,090",NYS,$13B (Mid),1.59
STM,STMicroelectronics NV,Technology,"5,775,750",NYS,$26B (Mid),1.59
BN,Brookfield Corp,Financials,"4,247,060",NYS,$118B (Large),1.59
FSLR,First Solar Inc,Technology,"2,110,850",NASDAQ,$26B (Mid),1.59
TREX,Trex Company Inc,Industrials,"2,042,680",NYS,$4B (Small),1.59
TRMB,Trimble Inc,Technology,"1,271,020",NASDAQ,$19B (Mid),1.59
TDAY,USA TODAY Co Inc,Communication Services,"1,226,190",NYS,$859M (Micro),1.59
ARI,Apollo Commercial Real Estate Finance Inc,Real Estate,"1,098,340",NYS,$1B (Micro),1.59
TE,T1 Energy Inc,Energy,"16,949,490",NYS,$2B (Micro),1.6
SE,Sea Ltd,Communication Services,"4,087,450",NYS,$79B (Large),1.6
RLAY,Relay Therapeutics Inc,Healthcare,"1,845,710",NASDAQ,$1B (Micro),1.6
IMUX,Immunic Inc,Healthcare,"1,688,050",NASDAQ,$80M (Micro),1.6
IOT,Samsara Inc,Technology,"4,900,230",NYS,$19B (Mid),1.61
ATAI,Atai Beckley NV,Healthcare,"3,783,830",NASDAQ,$1B (Micro),1.61
AXL,American Axle & Manufacturing Holdings Inc,Consumer Discretionary,"2,539,810",NYS,$929M (Micro),1.61
ADNT,Adient PLC,Consumer Discretionary,"1,089,770",NYS,$2B (Micro),1.61
MP,MP Materials Corp,Materials,"7,654,900",NYS,$11B (Mid),1.62
CX,Cemex SAB de CV,Materials,"4,810,080",NYS,$18B (Mid),1.62
RBLX,Roblox Corp,Communication Services,"8,590,250",NYS,$51B (Large),1.63
BB,BlackBerry Ltd,Technology,"7,770,980",NYS,$2B (Small),1.63
AQST,Aquestive Therapeutics Inc,Healthcare,"6,657,380",NASDAQ,$477M (Micro),1.63
ZIM,ZIM Integrated Shipping Services Ltd,Industrials,"3,891,050",NYS,$3B (Small),1.63
SID,Companhia Siderurgica Nacional SA,Materials,"2,839,580",NYS,$2B (Small),1.63
CC,Chemours Co,Materials,"2,362,460",NYS,$2B (Small),1.63
ACVA,ACV Auctions Inc,Industrials,"2,168,710",NYS,$2B (Micro),1.63
FOUR,Shift4 Payments Inc,Financials,"1,796,980",NYS,$6B (Small),1.63
RWT,Redwood Trust Inc,Real Estate,"1,771,920",NYS,$722M (Micro),1.63
ALGM,Allegro Microsystems Inc,Technology,"1,665,920",NASDAQ,$6B (Small),1.63
NBP,NovaBridge Biosciences,Healthcare,"1,086,310",NASDAQ,$427M (Micro),1.63
SLG,SL Green Realty Corp,Real Estate,"1,071,580",NYS,$4B (Small),1.63
PLTR,Palantir Technologies Inc,Technology,"35,983,830",NASDAQ,$423B (Large),1.64
ORCL,Oracle Corp,Technology,"16,099,200",NYS,$570B (Large),1.64
GLUE,Monte Rosa Therapeutics Inc,Healthcare,"3,848,320",NASDAQ,$2B (Micro),1.64
STX,Seagate Technology Holdings PLC,Technology,"3,162,930",NASDAQ,$66B (Large),1.64
OLN,Olin Corp,Materials,"2,577,570",NYS,$3B (Small),1.64
GH,Guardant Health Inc,Healthcare,"1,928,110",NASDAQ,$14B (Mid),1.64
WSM,Williams-Sonoma Inc,Consumer Discretionary,"1,027,720",NYS,$24B (Mid),1.64
WBD,Warner Bros Discovery Inc,Communication Services,"23,560,690",NASDAQ,$72B (Large),1.65
TPR,Tapestry Inc,Consumer Discretionary,"2,082,710",NYS,$27B (Mid),1.65
SEDG,Solaredge Technologies Inc,Technology,"2,757,420",NASDAQ,$2B (Micro),1.66
SPOT,Spotify Technology SA,Communication Services,"1,727,200",NYS,$111B (Large),1.66
MFA,MFA Financial Inc,Real Estate,"1,532,740",NYS,$990M (Micro),1.66
LODE,Comstock Inc,Materials,"1,307,990",NYS,$192M (Micro),1.66
ISRG,Intuitive Surgical Inc,Healthcare,"1,307,610",NASDAQ,$208B (Large),1.66
HLMN,Hillman Solutions Corp,Industrials,"1,263,600",NASDAQ,$2B (Micro),1.66
ARLO,Arlo Technologies Inc,Industrials,"1,059,490",NYS,$1B (Micro),1.66
F,Ford Motor Co,Consumer Discretionary,"55,053,360",NYS,$57B (Large),1.67
DKNG,Draftkings Inc,Consumer Discretionary,"8,786,400",NASDAQ,$18B (Mid),1.67
ARRY,Array Technologies Inc,Technology,"5,298,700",NASDAQ,$1B (Micro),1.67
IVZ,Invesco Ltd,Financials,"4,422,360",NYS,$13B (Mid),1.67
VFC,VF Corp,Consumer Discretionary,"5,274,990",NYS,$8B (Mid),1.68
LTH,Life Time Group Holdings Inc,Consumer Discretionary,"1,816,180",NYS,$6B (Small),1.68
VIR,Vir Biotechnology Inc,Healthcare,"1,516,310",NASDAQ,$814M (Micro),1.68
TEX,Terex Corp,Industrials,"1,037,780",NYS,$4B (Small),1.68
ORC,Orchid Island Capital Inc,Real Estate,"7,257,300",NYS,$1B (Micro),1.69
MOD,Modine Manufacturing Co,Consumer Discretionary,"1,744,000",NYS,$7B (Small),1.69
STGW,Stagwell Inc,Communication Services,"1,504,140",NASDAQ,$1B (Micro),1.69
WEAV,Weave Communications Inc,Technology,"1,495,310",NYS,$559M (Micro),1.69
TNDM,Tandem Diabetes Care Inc,Healthcare,"1,146,330",NASDAQ,$1B (Micro),1.69
AMAT,Applied Materials Inc,Technology,"5,591,500",NASDAQ,$239B (Large),1.7
SHLS,Shoals Technologies Group Inc,Technology,"2,677,280",NASDAQ,$1B (Micro),1.7
TRU,TransUnion,Industrials,"1,817,580",NYS,$17B (Mid),1.7
ELF,elf Beauty Inc,Consumer Staples,"1,781,350",NYS,$5B (Small),1.7
LSCC,Lattice Semiconductor Corp,Technology,"1,524,970",NASDAQ,$12B (Mid),1.7
NFLX,Netflix Inc,Communication Services,"34,932,290",NASDAQ,$409B (Large),1.71
RGTI,Rigetti Computing Inc,Technology,"31,654,100",NASDAQ,$8B (Mid),1.71
DBRG,DigitalBridge Group Inc,Real Estate,"17,126,930",NYS,$3B (Small),1.71
APG,APi Group Corp,Industrials,"2,461,380",NYS,$18B (Mid),1.71
IVR,Invesco Mortgage Capital Inc,Real Estate,"2,391,280",NYS,$606M (Micro),1.71
ARQT,Arcutis Biotherapeutics Inc,Healthcare,"1,646,530",NASDAQ,$3B (Small),1.71
UDMY,Udemy Inc,Consumer Discretionary,"1,942,760",NASDAQ,$835M (Micro),1.72
WOOF,Petco Health and Wellness Company Inc,Consumer Discretionary,"1,895,890",NASDAQ,$944M (Micro),1.72
CRSP,CRISPR Therapeutics AG,Healthcare,"1,712,420",NASDAQ,$5B (Small),1.72
CENN,Cenntro Inc (The Corporation),Consumer Discretionary,"1,653,770",NASDAQ,$14M (Micro),1.72
SUPV,Grupo Supervielle SA,Financials,"1,152,850",NYS,$1B (Micro),1.72
GXO,GXO Logistics Inc,Industrials,"1,079,850",NYS,$7B (Small),1.72
INO,Inovio Pharmaceuticals Inc,Healthcare,"2,495,170",NASDAQ,$107M (Micro),1.73
GPRO,GoPro Inc,Consumer Discretionary,"2,387,840",NASDAQ,$233M (Micro),1.73
TDUP,ThredUp Inc,Consumer Discretionary,"1,813,950",NASDAQ,$751M (Micro),1.73
TTMI,TTM Technologies Inc,Technology,"1,542,570",NASDAQ,$8B (Mid),1.74
XRX,Xerox Holdings Corp,Technology,"2,530,370",NASDAQ,$325M (Micro),1.75
FND,Floor & Decor Holdings Inc,Consumer Discretionary,"2,364,780",NYS,$8B (Mid),1.75
JELD,JELD-WEN Holding Inc,Industrials,"1,081,950",NYS,$235M (Micro),1.75
CATX,Perspective Therapeutics Inc,Healthcare,"1,065,120",NYS,$211M (Micro),1.75
BX,Blackstone Inc,Financials,"3,181,730",NYS,$192B (Large),1.76
BLDP,Ballard Power Systems Inc,Industrials,"2,883,130",NASDAQ,$830M (Micro),1.76
PTLO,Portillos Inc,Consumer Discretionary,"2,590,430",NASDAQ,$378M (Micro),1.76
SHAK,Shake Shack Inc,Consumer Discretionary,"1,673,980",NYS,$4B (Small),1.76
RIVN,Rivian Automotive Inc,Consumer Discretionary,"32,116,840",NASDAQ,$24B (Mid),1.77
TNGX,Tango Therapeutics Inc,Healthcare,"3,468,260",NASDAQ,$2B (Micro),1.77
DASH,DoorDash Inc,Consumer Discretionary,"3,446,420",NASDAQ,$93B (Large),1.77
YETI,Yeti Holdings Inc,Consumer Discretionary,"1,810,940",NYS,$4B (Small),1.77
DOCN,DigitalOcean Holdings Inc,Technology,"1,705,200",NYS,$5B (Small),1.77
NVRI,Enviri Corp,Industrials,"1,155,590",NYS,$1B (Micro),1.77
ETSY,ETSY Inc,Consumer Discretionary,"3,025,760",NYS,$6B (Small),1.78
JBLU,JetBlue Airways Corp,Industrials,"15,811,610",NASDAQ,$2B (Micro),1.79
LRCX,Lam Research Corp,Technology,"11,533,010",NASDAQ,$274B (Large),1.8
WDC,Western Digital Corp,Technology,"8,672,670",NASDAQ,$69B (Large),1.8
IPSC,Century Therapeutics Inc,Healthcare,"3,508,580",NASDAQ,$169M (Micro),1.8
RVLV,Revolve Group Inc,Consumer Discretionary,"1,127,770",NYS,$2B (Small),1.8
AMC,AMC Entertainment Holdings Inc,Communication Services,"33,240,780",NYS,$841M (Micro),1.81
JHX,James Hardie Industries PLC,Materials,"4,677,710",NYS,$13B (Mid),1.81
ZNTL,Zentalis Pharmaceuticals Inc,Healthcare,"3,643,530",NASDAQ,$270M (Micro),1.81
LCTX,Lineage Cell Therapeutics Inc,Healthcare,"1,051,000",NYS,$394M (Micro),1.81
STNE,StoneCo Ltd,Financials,"4,712,980",NASDAQ,$4B (Small),1.82
PROK,Prokidney Corp,Healthcare,"1,095,050",NASDAQ,$704M (Micro),1.82
TER,Teradyne Inc,Technology,"2,525,280",NASDAQ,$34B (Mid),1.83
SHC,Sotera Health Co,Healthcare,"2,108,190",NASDAQ,$5B (Small),1.83
UAA,Under Armour Inc,Consumer Discretionary,"16,859,300",NYS,$1B (Micro),1.84
BLNK,Blink Charging Co,Consumer Discretionary,"4,195,980",NASDAQ,$106M (Micro),1.84
ALTS,ALT5 Sigma Corp,Technology,"4,284,920",NASDAQ,$176M (Micro),1.85
GENI,Genius Sports Ltd,Technology,"4,008,810",NYS,$3B (Small),1.85
TGTX,TG Therapeutics Inc,Healthcare,"1,935,050",NASDAQ,$5B (Small),1.85
TSLA,Tesla Inc,Consumer Discretionary,"66,013,150",NASDAQ,$1T (Large),1.86
TMC,TMC the metals company Inc,Materials,"7,066,640",NASDAQ,$3B (Small),1.86
COHR,Coherent Corp,Technology,"3,506,470",NYS,$28B (Mid),1.86
EVLV,Evolv Technologies Holdings Inc,Technology,"2,532,910",NASDAQ,$1B (Micro),1.86
NUE,Nucor Corp,Materials,"1,522,660",NYS,$37B (Mid),1.86
ELAN,Elanco Animal Health Inc,Healthcare,"3,785,290",NYS,$12B (Mid),1.87
CLS,Celestica Inc,Technology,"1,967,690",NYS,$35B (Mid),1.87
PLUG,Plug Power Inc,Industrials,"90,293,860",NASDAQ,$3B (Small),1.88
BARK,Bark Inc,Consumer Discretionary,"1,798,080",NYS,$106M (Micro),1.89
ASML,ASML Holding NV,Technology,"1,547,010",NASDAQ,$494B (Large),1.89
UWMC,UWM Holdings Corp,Financials,"16,209,770",NYS,$9B (Mid),1.9
LFMD,LifeMD Inc,Healthcare,"1,358,350",NASDAQ,$186M (Micro),1.9
OSCR,Oscar Health Inc,Healthcare,"7,966,440",NYS,$5B (Small),1.91
GP,GreenPower Motor Company Inc,Consumer Discretionary,"7,770,520",NASDAQ,$4M (Micro),1.91
AA,Alcoa Corp,Basic Materials,"7,430,940",NYS,$16B (Mid),1.91
SLDP,Solid Power Inc,Industrials,"5,815,130",NASDAQ,$1B (Micro),1.91
OLMA,Olema Pharmaceuticals Inc,Healthcare,"1,269,080",NASDAQ,$2B (Small),1.91
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"1,678,310",NYS,$85B (Large),1.92
AMD,Advanced Micro Devices Inc,Technology,"25,997,890",NASDAQ,$331B (Large),1.93
CLF,Cleveland-Cliffs Inc,Basic Materials,"13,331,680",NYS,$7B (Small),1.93
GOSS,Gossamer Bio Inc,Healthcare,"4,739,050",NASDAQ,$579M (Micro),1.93
KD,Kyndryl Holdings Inc,Technology,"1,839,710",NYS,$6B (Small),1.93
WWW,Wolverine World Wide Inc,Consumer Discretionary,"1,750,260",NYS,$2B (Micro),1.93
CMPS,Compass Pathways PLC,Healthcare,"1,494,030",NASDAQ,$693M (Micro),1.93
LYFT,Lyft Inc,Industrials,"8,731,540",NASDAQ,$8B (Mid),1.94
TOST,Toast Inc,Technology,"6,905,910",NYS,$21B (Mid),1.94
HUMA,Humacyte Inc,Healthcare,"5,723,470",NASDAQ,$226M (Micro),1.94
SG,Sweetgreen Inc,Consumer Discretionary,"4,887,340",NYS,$926M (Micro),1.94
PL,Planet Labs PBC,Technology,"10,643,720",NYS,$7B (Small),1.95
MRVL,Marvell Technology Inc,Technology,"13,354,740",NASDAQ,$71B (Large),1.96
BMBL,Bumble Inc,Communication Services,"2,962,070",NASDAQ,$916M (Micro),1.96
NET,Cloudflare Inc,Technology,"1,965,920",NYS,$64B (Large),1.96
NRIX,Nurix Therapeutics Inc,Healthcare,"1,267,700",NASDAQ,$2B (Micro),1.96
AMBA,Ambarella Inc,Technology,"1,083,880",NASDAQ,$3B (Small),1.96
AUTL,Autolus Therapeutics PLC,Healthcare,"2,638,500",NASDAQ,$482M (Micro),1.97
SANA,Sana Biotechnology Inc,Healthcare,"2,547,190",NASDAQ,$1B (Micro),1.97
TV,Grupo Televisa SAB,Communication Services,"1,231,390",NYS,$2B (Micro),1.97
LTBR,Lightbridge Corp,Energy,"1,034,680",NASDAQ,$534M (Micro),1.97
AXTI,AXT Inc,Technology,"9,793,220",NASDAQ,$1B (Micro),1.98
AI,C3.ai Inc,Technology,"5,242,420",NYS,$2B (Micro),1.98
SGRY,Surgery Partners Inc,Healthcare,"1,293,950",NASDAQ,$2B (Micro),1.98
NEOG,Neogen Corp,Healthcare,"5,405,640",NASDAQ,$2B (Micro),1.99
NEXT,NextDecade Corp,Energy,"2,986,340",NASDAQ,$1B (Micro),1.99
KKR,KKR & Co Inc,Financials,"2,945,840",NYS,$120B (Large),1.99
ROKU,Roku Inc,Communication Services,"2,606,210",NASDAQ,$16B (Mid),1.99
VELO,Velo3D Inc,Industrials,"1,293,130",NASDAQ,$493M (Micro),1.99
CHGG,Chegg Inc,Consumer Discretionary,"1,064,430",NYS,$103M (Micro),1.99
SRAD,Sportradar Group AG,Technology,"2,053,740",NASDAQ,$6B (Small),2.01
GME,GameStop Corp,Consumer Discretionary,"5,628,890",NYS,$10B (Mid),2.02
AMKR,Amkor Technology Inc,Technology,"4,220,050",NASDAQ,$13B (Mid),2.02
VOR,Vor Biopharma Inc,Healthcare,"1,097,060",NASDAQ,$484M (Micro),2.02
SMTC,Semtech Corp,Technology,"1,048,420",NASDAQ,$7B (Small),2.02
TLRY,Tilray Brands Inc,Healthcare,"7,460,150",NASDAQ,$1B (Micro),2.03
LMND,Lemonade Inc,Financials,"1,771,590",NYS,$6B (Small),2.03
CZR,Caesars Entertainment Inc,Consumer Discretionary,"4,117,930",NASDAQ,$5B (Small),2.04
KULR,KULR Technology Group Inc,Industrials,"1,228,470",NYS,$153M (Micro),2.04
U,Unity Software Inc,Technology,"5,102,220",NYS,$19B (Mid),2.05
CG,Carlyle Group Inc,Financials,"1,611,890",NASDAQ,$24B (Mid),2.05
SONO,Sonos Inc,Consumer Discretionary,"1,187,090",NASDAQ,$2B (Micro),2.05
FUBO,FuboTV Inc,Communication Services,"10,795,420",NYS,$3B (Small),2.06
PCT,Purecycle Technologies Inc,Basic Materials,"3,544,160",NASDAQ,$2B (Micro),2.06
AVAH,Aveanna Healthcare Holdings Inc,Healthcare,"1,281,740",NASDAQ,$2B (Micro),2.06
XPO,XPO Inc,Industrials,"1,037,280",NYS,$17B (Mid),2.06
NCLH,Norwegian Cruise Line Holdings Ltd,Consumer Discretionary,"12,579,070",NYS,$11B (Mid),2.07
VRT,Vertiv Holdings Co,Industrials,"5,152,570",NYS,$63B (Large),2.08
WRBY,Warby Parker Inc,Consumer Discretionary,"4,646,170",NYS,$3B (Small),2.08
Z,Zillow Group Inc,Real Estate,"2,635,660",NASDAQ,$13B (Mid),2.08
GETY,Getty Images Holdings Inc,Communication Services,"1,546,550",NYS,$541M (Micro),2.08
RGC,Regencell Bioscience Holdings Ltd,Healthcare,"1,323,820",NASDAQ,$23B (Mid),2.08
TSSI,TSS Inc,Technology,"1,155,980",NASDAQ,$246M (Micro),2.08
APLT,Applied Therapeutics Inc,Healthcare,"7,747,440",NASDAQ,$15M (Micro),2.09
NTLA,Intellia Therapeutics Inc,Healthcare,"4,257,060",NASDAQ,$1B (Micro),2.1
LC,LendingClub Corp,Financials,"1,437,560",NYS,$2B (Small),2.1
AEVA,Aeva Technologies Inc,Consumer Discretionary,"4,913,430",NASDAQ,$1B (Micro),2.11
CLOV,Clover Health Investments Corp,Healthcare,"4,873,570",NASDAQ,$1B (Micro),2.11
CYH,Community Health Systems Inc,Healthcare,"1,136,060",NYS,$460M (Micro),2.11
ABSI,Absci Corp,Healthcare,"3,718,780",NASDAQ,$501M (Micro),2.12
CWH,Camping World Holdings Inc,Consumer Discretionary,"2,073,160",NYS,$1B (Micro),2.12
BEAM,Beam Therapeutics Inc,Healthcare,"1,408,790",NASDAQ,$3B (Small),2.12
EXPI,eXp World Holdings Inc,Real Estate,"1,082,060",NASDAQ,$2B (Micro),2.12
ENVX,Enovix Corp,Technology,"5,890,680",NASDAQ,$2B (Micro),2.13
TDOC,Teladoc Health Inc,Healthcare,"4,926,560",NYS,$1B (Micro),2.13
VERI,Veritone Inc,Technology,"2,148,130",NASDAQ,$431M (Micro),2.13
DAN,Dana Inc,Consumer Discretionary,"1,459,370",NYS,$3B (Small),2.13
RH,RH,Consumer Discretionary,"1,189,640",NYS,$4B (Small),2.13
SOFI,SoFi Technologies Inc,Financials,"50,013,750",NASDAQ,$35B (Mid),2.14
HTZ,Hertz Global Holdings Inc,Industrials,"5,396,950",NASDAQ,$2B (Micro),2.14
EOSE,Eos Energy Enterprises Inc,Industrials,"13,707,120",NASDAQ,$5B (Small),2.15
REKR,Rekor Systems Inc,Technology,"2,835,650",NASDAQ,$229M (Micro),2.15
EDIT,Editas Medicine Inc,Healthcare,"1,834,030",NASDAQ,$202M (Micro),2.15
SYM,Symbotic Inc,Industrials,"1,707,700",NASDAQ,$43B (Large),2.15
MAC,Macerich Co,Real Estate,"1,441,180",NYS,$5B (Small),2.15
ONON,On Holding AG,Consumer Discretionary,"4,488,950",NYS,$16B (Mid),2.16
SMR,Nuscale Power Corp,Energy,"34,861,340",NYS,$6B (Small),2.17
RKLB,Rocket Lab Corp,Industrials,"28,014,190",NASDAQ,$45B (Large),2.17
ADPT,Adaptive Biotechnologies Corp,Healthcare,"2,109,600",NASDAQ,$2B (Small),2.18
